GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000051523.11	557.351421386926	-5.22312974367578	0.228288750703988	-22.8794880499757	7.43687431997516e-116	1.30539454938524e-111
ENSG00000123496.8	1735.28645538674	-4.70716037594081	0.247367378090574	-19.0290264313562	9.80575413575685e-81	8.606020117247e-77
ENSG00000115318.12	436.351073628265	-3.57767595440771	0.220265748171437	-16.2425433101071	2.52245697898185e-59	1.47588957840228e-55
ENSG00000106991.14	1141.77011031999	-2.29400575367471	0.144473932186402	-15.878336797222	8.95207859998541e-57	3.9283958916386e-53
ENSG00000115414.21	12784.3523924028	3.16743363677005	0.201787374801652	15.6968870816794	1.5884776844391e-55	5.57650975899189e-52
ENSG00000128606.13	191.174075811706	-4.24954172527652	0.279048638632085	-15.228677502632	2.28160118287276e-52	6.67482426049425e-49
ENSG00000135269.18	153.507088166303	-4.55763088335234	0.315138139194747	-14.4623272035501	2.09589693056316e-47	5.25561126031072e-44
ENSG00000162407.9	187.972039858818	-4.62521701057218	0.329725153977231	-14.0274921545463	1.05828162153376e-44	2.32200216284775e-41
ENSG00000184347.15	478.407489159421	-2.3065538677126	0.167853709032027	-13.7414530844385	5.73138197748971e-43	1.11781053167641e-39
ENSG00000103485.19	353.871109091587	-4.62337751996095	0.336828320239247	-13.7262137479325	7.07345714230928e-43	1.24160393218955e-39
ENSG00000169744.13	220.521173199844	-5.01819466829383	0.371816166212886	-13.4964402419787	1.64116345072423e-41	2.61884927732386e-38
ENSG00000112769.20	209.176918171158	-3.17392346017494	0.241557483172777	-13.1394126916977	1.95740052376708e-39	2.8631876161403e-36
ENSG00000115290.10	227.467740701886	2.7665452702584	0.212988522935241	12.989175342089	1.40937470734723e-38	1.90298109523584e-35
ENSG00000128567.17	851.450754775207	-3.29720013453927	0.254826353877375	-12.9390076197767	2.71108816064046e-38	3.39912360598014e-35
ENSG00000149591.17	299.91001153746	-3.56897978618641	0.29345649615881	-12.1618700996654	4.96098251205543e-34	5.80534173560727e-31
ENSG00000166025.18	326.349022281067	-2.85391649009291	0.244259569912656	-11.6839495423391	1.53971345054105e-31	1.68916188733419e-28
ENSG00000131203.13	156.096542334219	-2.71099101976331	0.233355618430694	-11.6174233900799	3.3612084086597e-31	3.47054654101199e-28
ENSG00000144810.16	107.27354400349	-4.04756450274373	0.349025188696344	-11.5967690408303	4.27930899498201e-31	4.17303948827329e-28
ENSG00000164099.3	200.409267867307	2.58369119261357	0.22486431055967	11.4900011752997	1.48109915513208e-30	1.3683017615807e-27
ENSG00000104419.17	159.491642920969	-3.21190594883098	0.28702428465271	-11.1903630479117	4.54568582286893e-29	3.98952116244091e-26
ENSG00000197632.9	111.077512407515	-6.12605670085371	0.552904273568982	-11.0797781708399	1.57261704526649e-28	1.31448319026489e-25
ENSG00000180818.5	338.275579096498	-2.53160717965349	0.229567368015157	-11.0277309947917	2.80861734513046e-28	2.24089364813977e-25
ENSG00000108602.18	256.240778661275	-2.13858937351129	0.194098991593859	-11.0180344367073	3.12815099802789e-28	2.38732323775581e-25
ENSG00000001617.12	701.630560144353	-1.68539719548121	0.156103211444832	-10.796684961711	3.56855918369034e-27	2.60995497297153e-24
ENSG00000117594.10	2459.38169402056	2.50568574198806	0.238173002988363	10.5204440072936	6.95450776651555e-26	4.8828989930259e-23
ENSG00000169245.6	108.816948305222	6.61142801928446	0.638531660559456	10.3541115149902	4.00891278114102e-25	2.70647869412955e-22
ENSG00000112183.15	1031.33786106041	1.67137097684291	0.161947989426863	10.3204181957301	5.69744550794533e-25	3.70397262966535e-22
ENSG00000184515.11	137.676625712626	-5.27724489203265	0.512357360598271	-10.2999298885265	7.0512674609004e-25	4.42038920504231e-22
ENSG00000139329.5	1646.86128128886	-2.17028715999313	0.215041497477017	-10.0924109321043	5.96852758173033e-24	3.61260567731422e-21
ENSG00000104368.19	11669.4646940643	1.28594265273587	0.129116527362883	9.9595511047298	2.29094769967162e-23	1.34043349907786e-20
ENSG00000183160.9	206.359656251929	2.32439238547794	0.237434473191009	9.78961628544999	1.2476847486458e-22	7.06471302999346e-20
ENSG00000114251.15	75.5201822389589	-4.23650599967993	0.434710001682035	-9.74559127530424	1.92654040726695e-22	1.05676761777365e-19
ENSG00000166033.13	95.2108987811072	-2.97718699632113	0.306481691332275	-9.71407780797379	2.62615412634318e-22	1.39687525393036e-19
ENSG00000183486.14	296.302009285904	-11.5866316363518	1.20010119808025	-9.65471216501276	4.69475814113961e-22	2.42373793092422e-19
ENSG00000127955.17	607.373837613372	2.01062074548231	0.211774745589037	9.49414784982931	2.22019799779624e-21	1.11346101300907e-18
ENSG00000102468.11	62.6869081582452	3.97028564968397	0.422263765051795	9.40238300863199	5.33410467431323e-21	2.60082053745056e-18
ENSG00000179046.9	87.8726609113168	-3.4067112265208	0.364691495353672	-9.34135089499969	9.51127271276452e-21	4.51219918722042e-18
ENSG00000185339.9	58.6563291208345	-3.52434525571979	0.386866477314281	-9.10997840957074	8.23983672422655e-20	3.80615405316707e-17
ENSG00000173198.6	149.281080130613	-2.5335362092344	0.278372445673119	-9.10124636476926	8.93010603468706e-20	4.01923464684262e-17
ENSG00000154096.14	25327.1380336381	-1.28060703606896	0.141830659547575	-9.02912698956605	1.73046759922203e-19	7.59372444228606e-17
ENSG00000137959.17	66.3536279886332	-2.94119593359315	0.327123275724534	-8.99109342518902	2.44782865916299e-19	1.0479691818119e-16
ENSG00000147408.14	137.279031906567	-10.4766003957189	1.19645828790871	-8.75634403772731	2.01685480052593e-18	8.42901245562658e-16
ENSG00000196511.14	191.109218370768	-1.94227771610195	0.225802632333425	-8.60166108796262	7.85705224306302e-18	3.2073218144764e-15
ENSG00000162194.12	941.797205583232	-2.51343130945105	0.294573095768642	-8.53245372898922	1.43275863032796e-17	5.58871383069926e-15
ENSG00000263873.1	534.900876180099	-1.74009832664452	0.203924563847475	-8.53304915216601	1.42540091247067e-17	5.58871383069926e-15
ENSG00000234745.13	880.908463989504	1.87514402037196	0.221845560349165	8.45247485422132	2.85191992702594e-17	1.08825544519753e-14
ENSG00000144331.20	539.168370393284	1.36100370236367	0.161476799444543	8.42847831419328	3.50189050380337e-17	1.30784434070767e-14
ENSG00000078098.14	104.23839858984	-10.0791963347949	1.20727435280232	-8.3487206627053	6.90063248874472e-17	2.52347504322783e-14
ENSG00000111371.16	470.94162304771	-1.42404107719155	0.171097183848299	-8.32299541793838	8.57677632290943e-17	3.07241132236794e-14
ENSG00000152580.9	65.7854338236097	-4.03027730094646	0.484549311068623	-8.31757926155772	8.97780555417787e-17	3.15174841784968e-14
ENSG00000127863.16	5090.00328761441	1.23149405676373	0.148546977594172	8.29026666653663	1.12994850475758e-16	3.88901688313919e-14
ENSG00000128564.7	1867.10532265098	1.39329308709821	0.170477471875232	8.17288684406302	3.01096361524527e-16	1.01637392958462e-13
ENSG00000001561.7	308.822082148958	-1.77721765471591	0.218376465416389	-8.13832045191866	4.00798863348631e-16	1.32740046195444e-13
ENSG00000137868.19	100.619112304622	-3.98823608074539	0.49318723147053	-8.08665720897459	6.13245470248768e-16	1.99338847023641e-13
ENSG00000164176.13	59.4093790574056	-5.35950194546762	0.665740599428326	-8.05043578545434	8.24997519865866e-16	2.58592526182242e-13
ENSG00000154678.18	69.7703127837597	-7.05044419080707	0.875619587106194	-8.05194892237147	8.14859153315578e-16	2.58592526182242e-13
ENSG00000135919.14	7695.79530685918	-2.10263262890581	0.26364244523479	-7.97531909944655	1.51987621206451e-15	4.68041879831022e-13
ENSG00000120217.14	868.53505919311	2.07114264506738	0.267230094967151	7.75040941897646	9.15967385922103e-15	2.77206474570529e-12
ENSG00000171234.14	89.1915929648663	-7.99401332752547	1.04412352303788	-7.6561950297479	1.91522802637792e-14	5.69796568593418e-12
ENSG00000049247.14	52.4630046390691	-4.24520358811743	0.556299287203166	-7.63115050795856	2.32667850056748e-14	6.80669795341017e-12
ENSG00000136231.14	67.4653522944416	-2.27202772749957	0.298302520005415	-7.61652207114551	2.60602046014525e-14	7.49893067818516e-12
ENSG00000158445.10	255.36173116146	-2.82007075442049	0.372758947888659	-7.56540056353744	3.8667120800411e-14	1.09471608291873e-11
ENSG00000173546.7	2979.19684254963	-1.12380323028212	0.14860832285678	-7.56218231037553	3.96362302581753e-14	1.10434087257421e-11
ENSG00000102678.7	202.204244613842	-1.83993935645196	0.24466621778878	-7.52020190233366	5.46917165741646e-14	1.50000578285361e-11
